Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,31.243087768554688,34.00713890708205,25.823684924550964,27.888959409330344,855215656
1,2007-10-08,29.643657684326172,32.299008600809344,29.457316456226895,32.299008600809344,126671715
2,2007-10-09,31.662355422973633,31.94186524924102,28.059772627915926,29.65919394543385,116725709
3,2007-10-10,31.95738983154297,32.609582148487036,31.677880042092518,32.485353937265906,67931378
4,2007-10-11,35.52891159057617,37.26808955233463,31.67787738318619,37.26808955233463,106320954
5,2007-10-12,35.29598617553711,36.615897385582315,34.47298355762381,34.78355090116386,99410791
6,2007-10-15,35.761844635009766,36.24322664510452,35.4512772268222,36.025827774437204,41814972
7,2007-10-16,39.41100311279297,40.03214200646518,35.55996893099584,35.80842111859341,138614496
8,2007-10-17,42.485633850097656,43.47944706299793,32.95121030044613,35.40469417302467,204876259
9,2007-10-18,40.994895935058594,46.414297521934664,39.24019136515026,43.16886724242726,146617799
10,2007-10-19,40.85515213012695,42.51668855072136,38.820933147259815,40.06320273838237,110266491
11,2007-10-22,40.311649322509766,41.569445290888815,38.9762073113403,40.032139575352076,72253405
12,2007-10-23,43.184417724609375,43.57262706272986,41.305482000701666,41.305482000701666,74594921
13,2007-10-24,42.51667785644531,44.566423008690414,42.035295983563984,44.1005678168567,63055170
14,2007-10-25,42.423519134521484,43.41733657037701,37.46996706609637,41.07255000564734,34522489
15,2007-10-26,43.696834564208984,44.39561107467692,42.004240887250994,43.16886840469756,62370025
16,2007-10-29,44.58195877075195,45.653417926773926,44.19374954209758,44.41114839507992,43657697
17,2007-10-30,45.57577133178711,46.802509839097944,43.85212000877217,45.187562143586355,79921711
18,2007-10-31,46.522987365722656,47.54786187019512,45.653400706477655,45.80868433936699,44655368
19,2007-11-01,45.482601165771484,48.029255269010356,45.109922851472305,47.672103638179664,50632492
20,2007-11-02,46.30559158325195,46.58510551036276,43.47942843980119,43.836584188367574,32001693
21,2007-11-05,47.25284194946289,48.29324358732327,45.99504144553975,46.27455547686043,38833135
22,2007-11-06,47.87397384643555,50.90200582830951,47.22178150017936,48.0758418027592,81880281
23,2007-11-07,47.17520523071289,49.442345824143835,46.1192767928456,48.75909999368403,33593141
24,2007-11-08,46.36772537231445,47.625525913127305,45.34285460188037,45.963989423316804,27990521
25,2007-11-12,47.485755920410156,48.32428938520071,43.74341711624664,44.970159738377454,35153735
26,2007-11-13,48.619327545166016,49.597613813961146,46.75592352371276,48.29323352634733,43830531
27,2007-11-14,47.98265838623047,50.156629391049286,47.73420202970528,49.47337967602801,36738579
28,2007-11-15,48.7901496887207,49.64420999792116,47.87397421755158,48.883318219333944,29242252
29,2007-11-16,48.44852066040039,49.5510331003557,47.88949688657311,48.57274676158221,18895294
30,2007-11-19,50.203216552734375,52.02003612601181,49.178346133110516,49.551024371001624,40716718
31,2007-11-20,49.42681121826172,51.398914959507934,48.821203131338784,50.001361724153256,26342171
32,2007-11-21,45.57577133178711,50.016882759868096,44.47325470989338,49.72184630423909,26814499
33,2007-11-22,44.00741195678711,46.926748970719906,42.09742323425793,45.09439788808632,34096185
34,2007-11-23,46.926734924316406,47.20624466623216,44.286908526133296,46.89567735025048,27664090
35,2007-11-26,47.29941940307617,48.66591493082743,46.92674110223821,48.66591493082743,20159123
